"run","learner_id","completed","steps_visited","steps_completed"
"1","b128393d-4ca3-468a-a468-61e36a1ac0f1",0,18,17
"1","d7bfba2d-2121-4752-bbdb-953c4ccdfad3",0,6,0
"1","63bf7c73-25a3-40a3-af8c-eaf42b0cc11e",0,1,0
"1","17f6a51c-6f18-4bd3-841e-8b6001990220",0,5,3
"1","ba63ad12-9b20-4beb-9fe1-f4a1d61905f4",0,1,0
"1","9e81fbc8-fa3e-4b6f-b766-04ebfed19148",0,0,0
"1","89713ad6-df4e-47dc-9a15-223db81f5521",0,2,1
"1","55d41b07-dac2-4e44-9da6-12175fdcd8bd",1,31,31
"1","bfa0c1c8-6a1f-4bbb-a3da-26560639d4ee",0,1,0
"1","4f1d20d2-c794-43bb-befc-c1e20bfc1d22",0,0,0
"1","021deb1c-44c5-45c2-9a7f-41e34fb34ce5",0,0,0
"1","83e1d63d-155a-4c36-bf64-b9c248a68717",0,1,0
"1","626d61ba-5106-42be-9943-54a7cd22654a",0,0,0
"1","91bd5d0e-f31b-4524-94d4-4e925c0a4aa6",0,1,0
"1","030a41ed-a69d-43ab-a0ac-59a3cff95658",0,2,1
"1","b04bdf64-a690-4d71-94d9-677a32b0b44d",0,4,3
"1","66c65063-4b5c-412c-9f43-23a07d13da58",0,1,0
"1","bcc24398-6150-420c-a7e0-f0f0fc272392",0,7,6
"1","00397e79-39b6-47b7-8f9f-0ef9319de95f",1,60,60
"1","7f87e9fe-0d68-46b3-84bb-5bb6572108c9",0,0,0
"1","ffe289e1-cd64-4a47-b8c6-c03ba3b28bf1",0,0,0
"1","1b1767a8-8312-49e1-a91e-44d05db40446",0,6,0
"1","885e29b0-68b0-4709-affe-d0b12f002e9a",1,60,58
"1","ad0281d6-cd3c-43ce-a890-99987acb2627",0,4,2
"1","5303d735-06c4-479a-9e3a-c8f98bd32e38",0,2,1
"1","95daf81e-e14a-4140-961f-c18499fdd184",0,8,7
"1","c0127113-505e-42d3-b81c-55a80675e62b",0,18,17
"1","e16e30e4-37f8-48f7-b714-435a7de644f5",0,9,8
"1","b39de9d2-a273-463f-8f6e-18738536781d",0,1,0
"1","f584440e-559d-4d3f-9aff-f191eb96e5be",0,1,0
"1","f0eb47fc-75a0-485f-ac93-77555ea9a1ba",0,0,0
"1","bc123380-0d50-4751-838a-b7f6fa0ff1ed",0,5,4
"1","80c1f81b-7813-4a2d-8699-ec2535989ec0",0,1,0
"1","9b1c6dd0-777d-4dbb-8375-61958aaa929a",0,2,0
"1","4d9f080e-8a10-44b6-b44f-bb389a58705a",0,4,0
"1","4d8852e8-7f7f-4655-a24e-ff2ded5b8f1e",0,1,0
"1","3a2474d8-ccca-4da9-91a2-a025cf51c5af",0,17,16
"1","689add42-6853-4efd-996d-432c1e9b33bf",0,0,0
"1","327b0f29-3392-4975-836a-f0f0893ed487",0,0,0
