"run","learner_id","steps_visited","steps_completed"
"1","0dda0224-ccf3-4a6f-97e0-4d87bb517260",1,0
"1","0ddb54f6-aaab-49d9-b990-e3c40a9a29b1",5,4
"1","0de786f7-7a86-47ed-b54f-0ab3232f9f1d",4,4
"1","0df5b475-9d85-4210-b234-74dba8a00fc4",2,0
"1","0dfa689c-75f8-4958-84d3-7d42969db64d",2,0
"1","0dfda123-cbde-4ad7-b9ef-f05e332dc1b0",60,60
"1","0e012be8-1ea5-46ce-bc8c-6cb0dc026565",9,1
"1","0e22c20f-dcb0-4aed-827d-f49bf7d5fade",53,53
"1","0e26a606-ce78-44ba-8f4a-b5ce6c5ca831",60,58
"1","0e2bf32c-5e80-4b67-a56a-4c170c435679",19,19
"1","0e5ba617-cd7c-48d4-82ec-39953b6ac46a",60,60
"1","0e819b6d-bc0e-40d4-b000-35d8f57516b2",6,4
"1","0e9fc461-5b43-47a8-ab6f-754600ff1df9",59,58
"1","0eac6b00-170d-41c9-a109-cf8df161b295",60,60
"1","0eb872d5-b11d-48f8-9f05-484188a7365b",51,28
"1","0ebfcce1-2b17-495d-84ef-be7797c2ef23",2,0
"1","0ed44b8f-9964-4e44-975f-b5fe4cd74e3b",60,56
"1","0ef091db-4580-4320-b24b-433114c264fd",45,41
"1","0efe9b49-6326-4191-8d61-35004c3a75cc",11,8
"1","0f03a0cb-615e-47b1-88ed-aabfa26c2986",3,0
"1","0f06cd19-698d-4566-89cc-a6b13f23c9b6",1,0
"1","0f22afed-84f4-40a8-99ab-deb564dfea34",29,26
"1","0f24d3dd-8fbb-45f6-939c-bbb17afa95d7",6,0
"1","0f296df7-4dc9-44a9-af3b-5e1f891a5aa2",3,0
"1","0f310a3c-18cb-4ae3-94d7-9aa4b6c9bde6",2,1
"1","0f41d2b8-04a0-493f-b849-3c9ad9dcdfd6",60,60
"1","0f428d6f-1312-4061-ab3f-f0e6372b57db",24,22
"1","0f5c8643-eac4-4dda-bc32-083299fcd45a",10,9
"1","0f5cd9b6-414c-47ae-9f3d-dcf5fde83c32",60,60
"1","0f613442-6b3f-45e1-8bf0-3caa46b50068",2,1
"1","0f637a6b-9eca-46b5-92b2-100294dded6b",33,32
"1","0f6624e9-8293-420d-a0e9-1f5a47f0f540",60,60
"1","0f66f1c3-aa2e-40cf-857c-cfd7f6fc4e16",25,23
"1","0f695d19-1ae7-41d3-980f-964ed43fceda",60,60
"1","0f932f2e-1a52-4cd4-ab5e-0dd10ea23bb5",25,16
"1","0f968a49-ad04-4a67-8215-0753206070d8",1,0
"1","0f9d73f7-bbb5-49f8-a7c1-a42456e26d19",7,1
"1","0fb3650f-7de7-409b-be24-15cd48f5178e",1,0
"1","0fcd3e23-98e9-49a7-b126-a4a059d45826",60,60
"1","0fdbf839-9c56-46c7-a71a-e874d3f02d38",1,0
"1","0fdcbbc4-1013-41cd-882e-484b5da26b97",23,22
"1","10044d9d-d9f4-4a9b-a266-fff95c0ae2d5",1,0
"1","100760aa-c62e-4019-a25e-01d8bfa3560f",1,0
"1","10280eee-89e5-4f6d-aec0-bc81089d1e8f",58,55
